Age,Family size and dependents,Income,Monthly expenses,Existing investments and assets,Debt obligations,Financial goals,Risk tolerance level,Predicted Investment Return,Investment Category
58.0,5.0,189073.0,2556.0,670284.0,279301.0,retirement,medium,0.13241131143106205,mutual funds
52.0,6.0,64064.0,4399.0,58037.0,176637.0,vacation,high,0.12142098144231517,bonds
36.0,2.0,44122.0,1516.0,102115.0,201068.0,buying a house,high,0.1451789886122124,bonds
65.0,1.0,185892.0,2562.0,999125.0,65888.0,retirement,,0.07168359914186244,bonds
33.0,2.0,98431.0,1338.0,874358.0,187167.0,retirement,low,0.10910959407689273,stocks
20.0,3.0,85745.0,2137.0,482032.0,327091.0,,medium,0.05560659855566761,stocks
37.0,2.0,,4821.0,492870.0,480338.0,education,medium,0.027655235702954074,stocks
41.0,6.0,169783.0,,80400.0,333024.0,vacation,,0.06646138994001732,stocks
50.0,2.0,179865.0,,633813.0,4507.0,education,low,,stocks
41.0,2.0,169271.0,3979.0,373308.0,365278.0,buying a house,medium,0.14730669341795757,stocks
69.0,1.0,106253.0,1951.0,233457.0,43988.0,vacation,low,0.014436973671107455,mutual funds
28.0,2.0,66191.0,2813.0,758462.0,,education,low,0.08838175851789305,real estate
66.0,1.0,40211.0,2014.0,151774.0,147937.0,retirement,medium,0.09396957828810838,mutual funds
25.0,4.0,141086.0,1731.0,903164.0,364735.0,education,low,0.08071193143110814,real estate
53.0,3.0,182614.0,2145.0,25385.0,391758.0,retirement,high,0.09932788285677503,mutual funds
55.0,1.0,192384.0,3499.0,805768.0,27213.0,education,high,0.017427116251783642,mutual funds
57.0,6.0,131971.0,3940.0,861853.0,,education,high,0.08325277863079365,stocks
37.0,4.0,123783.0,4556.0,958729.0,57450.0,education,high,0.04308188566910423,stocks
52.0,1.0,155681.0,805.0,570309.0,,retirement,low,0.1410264094951585,real estate
65.0,1.0,117893.0,4036.0,931286.0,62222.0,education,high,0.11431074801595885,real estate
42.0,3.0,188763.0,2223.0,518670.0,399749.0,vacation,medium,0.14587717232396138,
52.0,6.0,107960.0,2189.0,127369.0,442611.0,vacation,high,0.005633410461028432,mutual funds
42.0,5.0,114388.0,,754990.0,154468.0,,medium,0.042769976277106304,real estate
46.0,5.0,52601.0,4417.0,583399.0,12755.0,retirement,medium,0.02931338799575235,bonds
35.0,1.0,179092.0,919.0,99402.0,131937.0,retirement,high,0.0016731880967745748,bonds
63.0,2.0,169227.0,3436.0,654062.0,142245.0,vacation,high,0.03634885953694821,bonds
35.0,6.0,197849.0,4362.0,263724.0,189977.0,vacation,low,0.10181639752806433,real estate
19.0,4.0,49710.0,4729.0,749945.0,169169.0,vacation,medium,0.03466333832018528,stocks
52.0,,138714.0,1950.0,839151.0,295515.0,buying a house,high,0.07635051682239273,stocks
33.0,2.0,185604.0,3596.0,237600.0,235132.0,,low,0.1331727172447498,stocks
58.0,6.0,158727.0,3761.0,714397.0,404470.0,education,high,0.10406368805236128,real estate
53.0,1.0,179673.0,1664.0,483319.0,135090.0,buying a house,high,0.05919436048590479,real estate
50.0,1.0,93227.0,2369.0,659983.0,267336.0,buying a house,high,0.055870340836816246,bonds
21.0,1.0,166039.0,2319.0,144585.0,264159.0,retirement,medium,0.0683603721012727,real estate
,1.0,114289.0,3205.0,780543.0,370298.0,education,high,,bonds
31.0,5.0,181094.0,4015.0,678695.0,199988.0,retirement,low,0.09510011511239821,bonds
38.0,1.0,35722.0,1842.0,709500.0,28343.0,retirement,high,0.05462292286569082,stocks
65.0,5.0,188485.0,2726.0,114126.0,331450.0,education,high,0.12785480238930655,real estate
37.0,5.0,111050.0,1579.0,745733.0,5829.0,retirement,low,0.11348289900867244,stocks
25.0,1.0,113596.0,4706.0,611946.0,34381.0,education,low,0.09157697461382401,stocks
24.0,,96732.0,3279.0,175912.0,373595.0,education,medium,0.05463033339742741,real estate
20.0,4.0,173369.0,3028.0,827439.0,212153.0,retirement,medium,0.03148977475102266,real estate
34.0,2.0,98323.0,1313.0,984451.0,280407.0,vacation,medium,0.11642277961584342,mutual funds
50.0,5.0,53816.0,2531.0,641121.0,234748.0,retirement,medium,0.07296136484866297,bonds
65.0,6.0,70695.0,822.0,128637.0,446476.0,buying a house,low,0.03371250572660362,mutual funds
29.0,6.0,180774.0,3469.0,917153.0,436522.0,retirement,high,0.029276192256000932,bonds
,4.0,186314.0,1403.0,627508.0,484427.0,education,high,0.02481013567520385,bonds
39.0,6.0,85841.0,2041.0,36393.0,320562.0,buying a house,high,0.11657417943083924,bonds
,3.0,158498.0,4003.0,591768.0,221970.0,education,medium,0.034348077795046755,stocks
63.0,6.0,137096.0,,913675.0,148.0,vacation,low,0.07899633952877962,stocks
47.0,,122764.0,2976.0,884722.0,394970.0,vacation,,0.06773195414595846,
55.0,2.0,115744.0,3840.0,489551.0,288889.0,buying a house,low,0.08694163488424259,
55.0,5.0,58482.0,4743.0,900695.0,72914.0,vacation,high,,bonds
62.0,1.0,39171.0,1641.0,674467.0,449049.0,vacation,medium,0.1301621085122596,bonds
68.0,3.0,130755.0,1349.0,531397.0,413356.0,retirement,low,0.06766141077372895,stocks
25.0,5.0,138125.0,866.0,802425.0,468123.0,retirement,medium,0.002304937610208496,real estate
44.0,3.0,160722.0,3397.0,103650.0,60653.0,vacation,low,,stocks
44.0,1.0,136082.0,1589.0,768685.0,223607.0,vacation,medium,0.09092903061362105,mutual funds
51.0,6.0,33696.0,4541.0,528196.0,192593.0,retirement,low,0.08366471386470926,mutual funds
38.0,6.0,156310.0,2538.0,914027.0,340459.0,vacation,medium,0.09770041587003082,mutual funds
47.0,,181130.0,3360.0,62066.0,293219.0,vacation,low,0.023111359870962522,real estate
50.0,5.0,181385.0,4770.0,383994.0,423913.0,education,low,0.09698026481710988,mutual funds
45.0,1.0,49149.0,2354.0,839374.0,447760.0,vacation,medium,0.027397742811565835,real estate
64.0,4.0,160064.0,994.0,26138.0,,buying a house,medium,0.11257859710451235,stocks
50.0,2.0,83521.0,3682.0,128558.0,64555.0,education,high,0.050863141989402,stocks
22.0,5.0,75740.0,2284.0,268480.0,445420.0,buying a house,medium,0.10648431500721803,
65.0,3.0,136611.0,4010.0,447743.0,235068.0,vacation,low,0.007179839835916062,
36.0,4.0,166028.0,4286.0,281334.0,462970.0,retirement,low,0.061179003838637,stocks
21.0,5.0,96641.0,4630.0,888691.0,458076.0,education,medium,0.1057551783394999,real estate
52.0,1.0,93811.0,1498.0,88422.0,103107.0,retirement,,0.03403057744972412,mutual funds
66.0,1.0,,4969.0,721058.0,313673.0,education,medium,0.11929305671958337,real estate
34.0,,45417.0,1951.0,616603.0,404888.0,retirement,low,0.0946169599657398,bonds
61.0,1.0,,2251.0,39086.0,447454.0,education,low,0.08813426582246975,
45.0,3.0,142492.0,2780.0,,227650.0,,high,0.05303232813065057,real estate
47.0,4.0,60099.0,3434.0,135604.0,167022.0,buying a house,medium,0.07236772055716763,stocks
46.0,6.0,191033.0,4234.0,897246.0,11009.0,retirement,low,0.08960239514667796,mutual funds
63.0,2.0,173674.0,3846.0,129324.0,178168.0,buying a house,low,0.07086931708723357,stocks
23.0,3.0,148474.0,2373.0,486785.0,150616.0,buying a house,low,0.10474699859108401,
52.0,3.0,39256.0,4303.0,750970.0,,retirement,medium,0.06505453996604393,mutual funds
58.0,6.0,64681.0,2479.0,401065.0,29381.0,education,medium,0.030340977261304553,mutual funds
54.0,6.0,,1198.0,13435.0,389913.0,buying a house,high,0.03209006742015708,mutual funds
41.0,2.0,73361.0,1812.0,897937.0,418503.0,retirement,low,0.0008705653264411639,bonds
46.0,2.0,64540.0,3462.0,849763.0,326754.0,education,low,0.045143657333800866,real estate
66.0,6.0,187608.0,3438.0,170014.0,68122.0,buying a house,high,0.11233764607177794,real estate
63.0,1.0,114700.0,2800.0,724995.0,330328.0,buying a house,low,0.11912440632564142,mutual funds
48.0,,108532.0,3697.0,432275.0,433297.0,buying a house,high,0.030370131314362503,stocks
52.0,5.0,157626.0,626.0,722917.0,214709.0,education,high,0.14385659953071114,mutual funds
50.0,2.0,163943.0,1691.0,385601.0,438528.0,buying a house,low,0.07536041902201901,bonds
69.0,2.0,76002.0,3139.0,848821.0,87228.0,education,medium,0.13754681235277538,mutual funds
38.0,6.0,79812.0,4889.0,849446.0,335087.0,vacation,medium,0.10601479227924467,real estate
49.0,4.0,183698.0,4416.0,436042.0,476006.0,,medium,0.10836501345336196,mutual funds
40.0,5.0,138946.0,1866.0,302441.0,80770.0,vacation,medium,0.012756543195910668,stocks
50.0,5.0,96668.0,1519.0,578178.0,52726.0,retirement,low,0.0329986690345396,real estate
20.0,2.0,129003.0,4579.0,293466.0,415427.0,buying a house,high,0.0013222249941708952,stocks
35.0,1.0,72998.0,1184.0,570027.0,422696.0,retirement,high,0.10741914607151062,mutual funds
42.0,4.0,134601.0,4129.0,412935.0,309924.0,retirement,low,0.0516657432642765,real estate
59.0,5.0,37812.0,3387.0,613841.0,188210.0,retirement,medium,0.11799787741145201,
48.0,2.0,91844.0,1962.0,18314.0,221454.0,vacation,high,0.05084043299055394,real estate
20.0,5.0,163251.0,4586.0,628119.0,304647.0,education,low,0.12290006284482916,stocks
57.0,4.0,104601.0,2761.0,871596.0,320037.0,vacation,,0.01960473806224695,real estate
63.0,4.0,169347.0,4680.0,379802.0,177265.0,vacation,medium,0.02600597351362623,bonds
41.0,3.0,,3341.0,873460.0,245074.0,retirement,low,0.05113148093759047,bonds
67.0,6.0,,,832545.0,323502.0,,high,0.061273108332340995,bonds
49.0,,50700.0,4680.0,651462.0,80857.0,education,high,0.05230542162644675,bonds
64.0,2.0,123330.0,4060.0,156429.0,471398.0,retirement,low,0.11454705487848298,stocks
39.0,4.0,174941.0,2612.0,239937.0,382601.0,education,high,0.014542708894007205,real estate
40.0,3.0,182026.0,1126.0,554653.0,415333.0,vacation,low,0.05268255294577321,mutual funds
19.0,,192627.0,4659.0,311173.0,259405.0,education,high,0.1255859999273189,bonds
,5.0,93353.0,,273881.0,190128.0,education,medium,0.010019561589325798,mutual funds
59.0,5.0,,1875.0,403186.0,117928.0,buying a house,high,0.14135152615070362,mutual funds
19.0,3.0,121502.0,1681.0,739992.0,58706.0,retirement,medium,0.14794752634080194,real estate
43.0,5.0,143943.0,990.0,619762.0,463645.0,education,medium,0.013285226073762013,mutual funds
34.0,4.0,139850.0,4229.0,350362.0,402692.0,,low,0.04369087833836054,mutual funds
57.0,1.0,,4034.0,789966.0,344950.0,vacation,medium,0.05586009990530342,stocks
50.0,4.0,175342.0,3796.0,168571.0,55006.0,vacation,high,0.1164587052979089,mutual funds
26.0,3.0,191980.0,2440.0,775387.0,87238.0,education,high,0.08938902181751007,real estate
60.0,3.0,45523.0,4908.0,251474.0,248018.0,retirement,medium,0.0966548550738851,mutual funds
65.0,4.0,92433.0,2382.0,138692.0,463134.0,education,low,0.11362647342277589,real estate
56.0,5.0,49991.0,3487.0,772790.0,194227.0,education,medium,0.01769684991555386,bonds
46.0,5.0,40775.0,3659.0,711517.0,460537.0,buying a house,high,0.12498141853653935,mutual funds
59.0,6.0,114995.0,1181.0,,307942.0,retirement,,0.1058429706270216,mutual funds
43.0,,177745.0,1573.0,400555.0,,buying a house,medium,,mutual funds
52.0,2.0,152808.0,2887.0,,292321.0,retirement,medium,0.1334603002174585,bonds
67.0,6.0,188128.0,2894.0,10294.0,489464.0,retirement,medium,0.10504595308257107,stocks
42.0,5.0,167686.0,,821028.0,390166.0,retirement,high,0.03025499439465381,mutual funds
41.0,4.0,37415.0,1870.0,,392300.0,buying a house,high,0.06446180716135001,real estate
30.0,5.0,178036.0,4840.0,807866.0,344359.0,buying a house,high,0.07410643004036,stocks
24.0,,198798.0,2656.0,68382.0,43013.0,buying a house,low,0.008282644012560847,stocks
53.0,6.0,67044.0,3080.0,310242.0,494117.0,vacation,high,0.14319562700400837,stocks
62.0,3.0,198616.0,4891.0,538943.0,82600.0,buying a house,high,0.01928658911953177,mutual funds
37.0,5.0,79976.0,2659.0,617317.0,358243.0,vacation,low,0.10461919008400902,bonds
18.0,4.0,193324.0,3748.0,318372.0,315594.0,vacation,low,0.07593465541363202,bonds
25.0,3.0,33832.0,4231.0,13771.0,491844.0,vacation,low,0.003844837482663388,mutual funds
63.0,2.0,64148.0,4329.0,346243.0,,education,low,0.13871212137965425,real estate
33.0,4.0,142230.0,2127.0,655099.0,384784.0,education,low,0.12777552132283998,real estate
31.0,6.0,115076.0,3972.0,984303.0,354547.0,education,low,,real estate
29.0,2.0,68402.0,527.0,858689.0,438598.0,vacation,,0.03434135042091679,mutual funds
68.0,2.0,68578.0,2485.0,813990.0,99290.0,vacation,medium,0.018243433602014136,bonds
40.0,1.0,120453.0,4653.0,330580.0,216110.0,retirement,medium,0.05450887191481899,mutual funds
32.0,5.0,,2021.0,117779.0,131832.0,vacation,medium,0.03831424215691357,bonds
45.0,4.0,105715.0,796.0,659179.0,24142.0,education,high,0.0760036801509448,
51.0,2.0,141435.0,2681.0,789085.0,,vacation,low,0.14496139441851433,mutual funds
19.0,1.0,181538.0,3902.0,495319.0,369676.0,vacation,high,0.08624302398444621,bonds
49.0,6.0,125742.0,2796.0,788760.0,410506.0,retirement,low,,stocks
40.0,3.0,75475.0,3097.0,566664.0,464251.0,vacation,low,0.09763182562436658,stocks
39.0,4.0,90142.0,1401.0,490674.0,131436.0,,high,0.07128697898808006,mutual funds
68.0,2.0,187636.0,1598.0,87924.0,319065.0,,medium,0.12819113441000568,bonds
42.0,5.0,183484.0,2177.0,563620.0,281941.0,vacation,high,0.07070521652594962,stocks
39.0,1.0,123526.0,3381.0,403145.0,237403.0,vacation,high,0.13029422557655415,mutual funds
39.0,2.0,81001.0,1878.0,581025.0,32535.0,retirement,low,0.04373651543636479,stocks
66.0,5.0,87649.0,1748.0,,308444.0,vacation,low,0.019321961064448216,real estate
69.0,2.0,196589.0,4235.0,99031.0,309320.0,education,low,0.12829716965444074,mutual funds
59.0,4.0,174228.0,4741.0,,16105.0,,medium,0.08811227456890001,stocks
23.0,4.0,184136.0,1764.0,193024.0,139011.0,buying a house,high,,mutual funds
32.0,4.0,55711.0,2407.0,293135.0,79472.0,education,high,0.14067408104885748,mutual funds
60.0,6.0,60106.0,,37472.0,,vacation,medium,0.008044258555717375,bonds
54.0,,95458.0,3249.0,69946.0,146935.0,vacation,high,0.07514539527883025,bonds
50.0,1.0,177661.0,2548.0,508782.0,78097.0,buying a house,high,0.05624468236117939,stocks
,4.0,160429.0,4748.0,954353.0,261674.0,vacation,low,0.09387875956051757,mutual funds
61.0,5.0,131754.0,2976.0,273685.0,141519.0,buying a house,medium,0.11903867958034853,mutual funds
61.0,2.0,168286.0,4516.0,663525.0,96160.0,buying a house,low,0.04208853239615534,real estate
,3.0,,3697.0,12765.0,46940.0,education,medium,0.08351975765597575,mutual funds
56.0,5.0,188199.0,4053.0,315218.0,209019.0,buying a house,low,,bonds
21.0,6.0,166213.0,4940.0,374939.0,85001.0,,high,0.0201646624253601,mutual funds
23.0,6.0,58884.0,2261.0,694643.0,234824.0,vacation,medium,0.12211003589269002,bonds
62.0,5.0,32708.0,720.0,635675.0,150714.0,retirement,medium,0.09091643997794596,real estate
49.0,6.0,48375.0,3388.0,785404.0,227870.0,vacation,low,0.14243061556704775,stocks
69.0,4.0,45088.0,2164.0,503377.0,,retirement,medium,0.05092933786960399,bonds
47.0,1.0,87615.0,4486.0,928273.0,198715.0,buying a house,high,0.016221891350579797,stocks
64.0,2.0,140138.0,3477.0,683166.0,7928.0,vacation,high,0.0759751801555388,stocks
52.0,1.0,40014.0,2371.0,799404.0,,education,high,0.012871615756415827,stocks
57.0,2.0,164345.0,1962.0,683616.0,346997.0,education,low,0.145428978498601,stocks
69.0,2.0,,844.0,376047.0,114614.0,education,medium,0.00580274373857873,bonds
33.0,1.0,191953.0,544.0,528790.0,117517.0,buying a house,low,0.1130255851660962,real estate
30.0,5.0,,2568.0,159725.0,156089.0,buying a house,,0.0787653597213366,mutual funds
67.0,2.0,,2014.0,637867.0,79064.0,retirement,medium,0.0552930978747433,bonds
59.0,1.0,82874.0,3098.0,489885.0,381838.0,education,high,0.009876324676298199,real estate
47.0,2.0,99087.0,1501.0,49339.0,406529.0,retirement,medium,0.09332503862604116,mutual funds
36.0,3.0,42297.0,1533.0,428973.0,394775.0,retirement,medium,0.08778304940864329,stocks
34.0,5.0,57128.0,2540.0,899808.0,50893.0,vacation,low,0.04213249096013996,mutual funds
36.0,4.0,98368.0,773.0,314543.0,277311.0,vacation,medium,0.1365332552115468,mutual funds
45.0,2.0,108958.0,3147.0,840445.0,474095.0,education,high,0.04561650110142553,real estate
43.0,3.0,62920.0,2279.0,417922.0,38598.0,buying a house,medium,0.06745881158881592,mutual funds
54.0,4.0,172228.0,4976.0,965735.0,138595.0,vacation,high,,stocks
43.0,4.0,172180.0,978.0,562197.0,311921.0,buying a house,low,0.015034781726442913,bonds
40.0,2.0,,1015.0,,421655.0,retirement,high,0.13982425788204483,bonds
26.0,1.0,163872.0,4786.0,722932.0,378522.0,retirement,medium,0.05618042286765616,real estate
29.0,2.0,163682.0,1691.0,489095.0,81060.0,retirement,high,0.012116882081151541,stocks
18.0,3.0,107603.0,3168.0,991271.0,275429.0,retirement,high,0.05809367605129949,stocks
18.0,,63872.0,1911.0,167541.0,404189.0,education,medium,,mutual funds
64.0,2.0,40728.0,3780.0,,385114.0,retirement,high,0.07704790077319944,real estate
51.0,1.0,125102.0,771.0,411063.0,22694.0,vacation,medium,0.1041812961055911,stocks
49.0,2.0,152049.0,642.0,977726.0,428990.0,retirement,low,0.008322591310186594,stocks
65.0,5.0,50583.0,3832.0,151002.0,397518.0,buying a house,high,0.042681091540808416,stocks
42.0,1.0,115774.0,1287.0,13285.0,261401.0,vacation,low,0.12288458652601533,bonds
57.0,3.0,168335.0,2181.0,395781.0,246848.0,buying a house,high,0.011984053168704129,bonds
62.0,4.0,156374.0,1122.0,570151.0,153463.0,buying a house,high,0.12832289320439363,bonds
18.0,,180528.0,4341.0,157776.0,266755.0,education,low,0.013784413811565937,mutual funds
33.0,1.0,121118.0,4176.0,946209.0,9372.0,education,high,0.12516813223375442,mutual funds
56.0,5.0,95942.0,3072.0,665915.0,155384.0,buying a house,high,0.054118260161809,
22.0,1.0,43689.0,3760.0,,145152.0,buying a house,low,0.09183135948858237,stocks
39.0,6.0,,566.0,343112.0,342762.0,retirement,high,0.022933067347199725,bonds
46.0,5.0,63276.0,4786.0,994426.0,112945.0,vacation,medium,0.009925308258777127,stocks
20.0,3.0,131968.0,1640.0,63915.0,370541.0,retirement,high,0.03239073060302026,stocks
29.0,4.0,180945.0,2814.0,381687.0,96213.0,education,high,0.01917807268630433,real estate
43.0,3.0,43050.0,3032.0,675979.0,20874.0,education,high,0.04686088465194477,stocks
33.0,2.0,96216.0,4080.0,213462.0,455753.0,retirement,low,0.07715748697665302,mutual funds
68.0,1.0,114040.0,1687.0,794278.0,204986.0,vacation,medium,0.08831391953475143,bonds
54.0,6.0,51644.0,4971.0,904932.0,,buying a house,medium,0.11848021610696143,bonds
39.0,5.0,92021.0,3839.0,517553.0,11600.0,retirement,high,0.0984359839872538,stocks
,5.0,198197.0,1048.0,986778.0,,education,low,0.09131374876943295,mutual funds
31.0,1.0,72291.0,4587.0,476389.0,341559.0,vacation,low,0.06176730412286619,mutual funds
45.0,6.0,196132.0,572.0,948729.0,248430.0,education,medium,,mutual funds
22.0,1.0,162610.0,698.0,383410.0,471769.0,vacation,low,0.06217812440852716,bonds
64.0,2.0,197248.0,3701.0,823171.0,155887.0,vacation,high,0.12632490450920747,mutual funds
66.0,3.0,71520.0,2281.0,450924.0,215572.0,,high,0.034500067882259976,mutual funds
47.0,5.0,55675.0,1071.0,662329.0,94348.0,retirement,low,0.0008581397312946937,stocks
63.0,2.0,179359.0,1290.0,63019.0,,retirement,high,0.09769798458393589,real estate
69.0,3.0,30174.0,2138.0,217226.0,286858.0,retirement,medium,0.030369327545824706,mutual funds
22.0,2.0,122268.0,,243169.0,412106.0,vacation,high,0.13351727044647138,stocks
,6.0,64998.0,2355.0,541661.0,454725.0,,low,0.1288569494559984,stocks
33.0,5.0,173184.0,1674.0,700641.0,455040.0,education,medium,0.011509105789230882,mutual funds
43.0,1.0,135410.0,4240.0,554475.0,135797.0,buying a house,high,0.015958260812111602,real estate
43.0,1.0,105225.0,3777.0,864295.0,436421.0,retirement,medium,0.07427573883699994,bonds
65.0,3.0,74814.0,678.0,632215.0,151756.0,vacation,low,0.0913833994154032,real estate
38.0,4.0,115091.0,2744.0,772473.0,485077.0,education,high,0.04123625062233611,mutual funds
56.0,6.0,80719.0,4586.0,356229.0,451127.0,education,high,0.1075196575049056,real estate
53.0,3.0,159887.0,1234.0,127996.0,491294.0,education,medium,0.08923740313783073,stocks
50.0,4.0,63919.0,1298.0,573508.0,111573.0,retirement,high,0.0487236164622832,stocks
47.0,2.0,103155.0,1287.0,402647.0,275236.0,retirement,high,,real estate
54.0,6.0,101569.0,3295.0,,358062.0,buying a house,high,0.11252254219477764,bonds
,2.0,71328.0,4804.0,541930.0,432986.0,education,high,0.0322130498737624,real estate
27.0,5.0,54618.0,3584.0,89971.0,25457.0,retirement,,,mutual funds
22.0,6.0,64675.0,3418.0,589844.0,333811.0,education,high,0.06304353900813828,bonds
53.0,4.0,48919.0,1231.0,436976.0,352895.0,,medium,0.08656161639476481,real estate
51.0,5.0,34173.0,1629.0,834624.0,62894.0,education,low,0.13094230956135028,real estate
,1.0,139369.0,3946.0,527473.0,61305.0,buying a house,medium,0.129543450137993,bonds
48.0,4.0,56400.0,2105.0,407597.0,,retirement,medium,0.05572793628653599,real estate
27.0,3.0,100305.0,4278.0,761943.0,233913.0,vacation,medium,0.031333333907226465,mutual funds
36.0,1.0,198636.0,3245.0,422774.0,209699.0,,low,0.1162719116592892,stocks
49.0,1.0,118791.0,3670.0,302926.0,493855.0,vacation,low,0.06496203054031967,mutual funds
18.0,3.0,189034.0,3433.0,,430305.0,education,low,0.02880629903385061,real estate
22.0,6.0,100533.0,1715.0,756777.0,488511.0,education,high,0.13566380134757253,stocks
62.0,1.0,133591.0,824.0,195784.0,314281.0,buying a house,medium,0.029715629136163105,bonds
21.0,4.0,171650.0,2350.0,246836.0,559.0,buying a house,low,0.0038710752286846613,mutual funds
33.0,5.0,161060.0,1990.0,498161.0,328393.0,vacation,medium,0.0030419960651129952,
41.0,1.0,179696.0,,160534.0,37361.0,buying a house,low,0.09334730346813964,stocks
33.0,4.0,69194.0,1890.0,856462.0,342864.0,buying a house,low,0.09925125910762955,real estate
19.0,2.0,139903.0,3889.0,733879.0,277405.0,buying a house,low,0.046656255758547586,stocks
66.0,4.0,161461.0,4739.0,852843.0,282516.0,buying a house,medium,0.04800164838705951,stocks
45.0,5.0,129303.0,4979.0,196278.0,317499.0,,high,0.05092408725899141,bonds
49.0,4.0,143903.0,2763.0,,228748.0,buying a house,low,0.10202378201383179,mutual funds
44.0,3.0,97391.0,3932.0,581238.0,,education,low,0.008720068654024287,stocks
37.0,5.0,174866.0,,405739.0,188992.0,education,low,0.13936745290369884,real estate
41.0,6.0,88002.0,3586.0,464142.0,243950.0,retirement,high,0.033378156626616966,stocks
29.0,2.0,65531.0,4812.0,150749.0,425760.0,education,medium,0.14995098078631383,bonds
67.0,3.0,34986.0,2015.0,741188.0,,education,medium,0.025728404068078047,mutual funds
52.0,6.0,62298.0,3417.0,156161.0,174104.0,buying a house,medium,0.11573196859685661,real estate
50.0,4.0,31481.0,2852.0,407797.0,471449.0,education,medium,0.03351188173944376,bonds
50.0,5.0,86408.0,1667.0,415123.0,303564.0,vacation,low,0.012127020246488096,stocks
68.0,2.0,151950.0,,408825.0,97243.0,buying a house,high,0.13123999865259733,stocks
60.0,3.0,177907.0,4827.0,716513.0,484768.0,buying a house,low,0.12881268887863379,mutual funds
54.0,6.0,155355.0,4155.0,846971.0,129380.0,buying a house,high,0.0605355588674402,bonds
29.0,6.0,57798.0,4293.0,447359.0,258430.0,retirement,medium,0.10535942138106402,bonds
20.0,2.0,121649.0,2255.0,32936.0,34600.0,buying a house,high,0.08355988990258757,mutual funds
18.0,4.0,94887.0,2077.0,846614.0,179357.0,,low,0.12794341705106232,real estate
50.0,2.0,49477.0,1796.0,511477.0,193080.0,vacation,low,0.047258395397798164,bonds
57.0,6.0,178338.0,4274.0,907691.0,351664.0,buying a house,medium,0.07855085999984777,mutual funds
27.0,1.0,157815.0,2720.0,240596.0,267311.0,buying a house,low,0.07280585568068257,bonds
60.0,3.0,157426.0,1472.0,629330.0,257351.0,vacation,low,0.05308587393852881,mutual funds
61.0,2.0,172961.0,1530.0,809595.0,432.0,buying a house,high,0.13371825968345583,stocks
46.0,6.0,54335.0,3093.0,792046.0,261550.0,retirement,low,0.02488168869938032,stocks
30.0,4.0,172326.0,4492.0,987262.0,69687.0,education,medium,0.022426295928104422,bonds
29.0,6.0,116610.0,1413.0,187129.0,244288.0,vacation,medium,0.0865364302984127,bonds
48.0,4.0,41442.0,2681.0,677897.0,334091.0,vacation,low,,stocks
,2.0,76289.0,3697.0,556707.0,358468.0,retirement,medium,0.029192888148684773,real estate
19.0,4.0,83747.0,1962.0,970082.0,313047.0,education,high,0.05860761633819361,mutual funds
68.0,5.0,67327.0,2878.0,740351.0,485375.0,retirement,high,0.14198457644681156,real estate
67.0,5.0,177271.0,3954.0,655499.0,185221.0,education,low,0.0369926134036011,real estate
,5.0,102827.0,4053.0,394906.0,218712.0,retirement,low,0.1002541053176091,
40.0,1.0,136464.0,1807.0,215671.0,187840.0,buying a house,high,0.11102240905463862,stocks
34.0,2.0,161184.0,1689.0,,453400.0,retirement,medium,0.06721930491977393,bonds
43.0,6.0,117051.0,1187.0,304358.0,327936.0,vacation,low,0.14062889801393744,real estate
25.0,6.0,180653.0,,758294.0,295583.0,vacation,low,0.11049851028281857,stocks
46.0,1.0,89722.0,2394.0,264870.0,164329.0,vacation,medium,0.06868868697913467,mutual funds
43.0,4.0,122036.0,2311.0,503244.0,498409.0,retirement,low,0.0854002802664141,bonds
27.0,1.0,177595.0,3683.0,786646.0,175746.0,vacation,medium,0.1038920165137651,mutual funds
43.0,4.0,96960.0,4297.0,536701.0,313392.0,vacation,medium,0.08882852706438273,real estate
51.0,4.0,49552.0,2144.0,543793.0,476818.0,buying a house,medium,0.13180463757391137,bonds
68.0,3.0,171880.0,4468.0,786041.0,176443.0,buying a house,medium,0.05353329934206017,real estate
58.0,6.0,184692.0,3216.0,899234.0,229354.0,education,medium,0.04498286100837074,bonds
24.0,5.0,30887.0,690.0,143177.0,461212.0,education,high,0.03207583342428964,real estate
21.0,4.0,61802.0,1835.0,209176.0,168369.0,education,medium,0.00566744520968927,mutual funds
67.0,3.0,115024.0,3606.0,400447.0,,retirement,high,0.0064520946570083,mutual funds
62.0,6.0,148639.0,878.0,510850.0,454472.0,education,medium,0.13050827896639242,real estate
28.0,5.0,148248.0,4982.0,,34743.0,retirement,low,0.1017589719608861,
,4.0,111938.0,4329.0,68408.0,199824.0,retirement,high,0.09907986231547292,mutual funds
53.0,4.0,152746.0,1115.0,,79803.0,education,low,0.0921964228402329,bonds
42.0,1.0,,2830.0,126908.0,337261.0,education,medium,0.12738287170411572,bonds
38.0,1.0,107789.0,2254.0,255993.0,201123.0,retirement,medium,0.07204003884984411,mutual funds
53.0,6.0,114526.0,963.0,240168.0,22076.0,buying a house,low,0.13056162428374504,stocks
27.0,5.0,168918.0,1466.0,614019.0,241424.0,vacation,medium,0.05391675392733587,stocks
54.0,4.0,76220.0,4767.0,515421.0,206384.0,vacation,low,0.13900612565086357,bonds
26.0,6.0,76163.0,3658.0,861563.0,250699.0,vacation,medium,0.10479854701218601,mutual funds
,6.0,164837.0,,860712.0,,buying a house,medium,0.038576570403664086,stocks
